date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:32	77160/77160	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202019%2020:24:29%20GMT	http://slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont3e6e.html	(from http://slimhamdi.net/istanbul/demos/css/font-awesome.min.css)
10:57:50	98024/98024	---M--	200	added ('OK')	application/x-font-woff	date:Sat,%2026%20Oct%202019%2020:24:26%20GMT	http://slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont3e6e.woff	(from http://slimhamdi.net/istanbul/demos/css/font-awesome.min.css)
10:57:58	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2026%20Oct%202019%2020:24:16%20GMT	http://slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont3e6e.eot	(from http://slimhamdi.net/istanbul/demos/css/font-awesome.min.css)
10:57:59	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2026%20Oct%202019%2020:24:16%20GMT	http://slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont.eot?	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/fonts/fontawesome-webfontd41d.eot	(from http://slimhamdi.net/istanbul/demos/css/font-awesome.min.css)
10:58:07	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2026%20Oct%202019%2020:24:23%20GMT	http://slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont3e6e.svg	(from http://slimhamdi.net/istanbul/demos/css/font-awesome.min.css)
10:58:08	537/537	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2025%20Mar%202021%2005:28:06%20GMT	http://slimhamdi.net/istanbul/demos/img/fullscreenlight.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/fullscreenlight.35.delayed	(from http://slimhamdi.net/istanbul/demos/css/style.css)
10:58:20	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	date:Sat,%2026%20Oct%202019%2020:24:29%20GMT	http://slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/fonts/fontawesome-webfont3e6e.ttf	(from http://slimhamdi.net/istanbul/demos/css/font-awesome.min.css)
10:58:24	136116/136116	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Nov%202019%2014:34:07%20GMT	http://slimhamdi.net/istanbul/demos/img/fullscreendark.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/fullscreendark.jpg	(from http://slimhamdi.net/istanbul/demos/css/style.css)
10:58:40	197759/197759	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Nov%202019%2014:34:04%20GMT	http://slimhamdi.net/istanbul/demos/img/fullscreenbgimage.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/fullscreenbgimage.jpg	(from http://slimhamdi.net/istanbul/demos/css/style.css)
10:58:59	252040/252040	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:13%20GMT	http://slimhamdi.net/istanbul/demos/img/blog/banner.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/blog/banner.jpg	(from http://slimhamdi.net/istanbul/demos/css/style.css)
10:59:14	471627/471627	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Nov%202019%2014:34:08%20GMT	http://slimhamdi.net/istanbul/demos/img/leftimage-bg.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/leftimage-bg.jpg	(from http://slimhamdi.net/istanbul/demos/css/style.css)
11:03:32	4964/4964	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:16%20GMT	http://slimhamdi.net/istanbul/demos/img/blog/user1.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/blog/user1.jpg	(from http://slimhamdi.net/istanbul/demos/blog-post.html)
11:03:33	5182/5182	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:16%20GMT	http://slimhamdi.net/istanbul/demos/img/blog/user2.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/blog/user2.jpg	(from http://slimhamdi.net/istanbul/demos/blog-post.html)
11:03:34	4749/4749	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:16%20GMT	http://slimhamdi.net/istanbul/demos/img/blog/user3.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/blog/user3.jpg	(from http://slimhamdi.net/istanbul/demos/blog-post.html)
11:12:09	20009631/20009631	UR-M--	200	added ('Partial%20Content')	video/mp4	date:Sat,%2026%20Oct%202019%2020:33:54%20GMT	http://slimhamdi.net/istanbul/demos/img/projects/video.mp4	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/projects/video.mp4	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
11:12:09	0/-1	---M--	500	error ('')			http://slimhamdi.net/istanbul/demos/img/fullscreenlight.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/fullscreenlight.html	(from http://slimhamdi.net/istanbul/demos/css/style.css)
11:12:09	0/-1	---M--	500	error ('')			http://slimhamdi.net/istanbul/demos/img/fullscreenlight.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/fullscreenlight.html	(from http://slimhamdi.net/istanbul/demos/css/style.css)
